data,pme,etp,qin,qobs,tmed,qsim,qobs_imp,res
2011-08-09,0.0,3.06,5.33,8.12,18.1,67.88,8.12,-59.76
2011-08-10,0.0,2.79,5.32,7.72,16.4,57.49,7.72,-49.77
2011-08-11,0.0,3.42,5.42,7.64,16.63,56.48,7.64,-48.84
2011-08-12,0.0,3.35,5.51,7.8,18.95,55.53,7.8,-47.73
2011-08-13,0.0,3.14,5.65,7.77,20.86,54.64,7.77,-46.87
2011-08-14,0.0,3.03,5.75,7.72,17.3,53.8,7.72,-46.08
2011-08-15,0.0,2.63,5.74,7.99,19.22,52.97,7.99,-44.98
2011-08-16,0.0,2.07,5.57,7.92,20.66,52.1,7.92,-44.18
2011-08-17,0.0,2.6,5.25,7.77,22.23,51.14,7.77,-43.37
2011-08-18,0.0,2.54,5.1,7.42,18.08,50.08,7.42,-42.66
2011-08-19,0.0,3.11,4.79,7.28,18.88,49.0,7.28,-41.72
2011-08-20,9.82,2.63,5.16,7.54,16.76,48.05,7.54,-40.51
2011-08-21,0.0,2.7,5.88,8.87,10.72,47.5,8.87,-38.63
2011-08-22,0.0,3.1,6.32,8.55,11.68,47.12,8.55,-38.57
2011-08-23,2.68,3.75,7.04,8.45,14.84,46.8,8.45,-38.35
2011-08-24,0.0,3.48,7.09,10.51,16.1,46.52,10.51,-36.01
2011-08-25,0.0,3.01,7.08,10.06,19.96,46.14,10.06,-36.08
2011-08-26,0.0,3.02,7.02,9.81,18.63,45.52,9.81,-35.71
2011-08-27,0.0,3.02,6.89,9.68,19.32,44.77,9.68,-35.09
2011-08-28,0.0,3.81,6.65,9.39,21.66,43.97,9.39,-34.58
2011-08-29,0.0,3.69,6.42,9.32,24.99,43.11,9.32,-33.79
2011-08-30,0.0,4.11,6.33,9.26,22.83,42.23,9.26,-32.97
2011-08-31,14.18,3.37,7.0,9.4,14.88,41.6,9.4,-32.2
2011-09-01,0.0,3.78,7.37,12.38,12.32,41.48,12.38,-29.1
2011-09-02,0.0,3.85,7.25,10.83,11.7,41.21,10.83,-30.38
2011-09-03,0.0,3.49,7.0,9.71,14.11,40.64,9.71,-30.93
2011-09-04,0.0,2.74,6.83,9.0,18.27,39.88,9.0,-30.88
2011-09-05,0.0,3.32,6.64,8.68,21.34,39.08,8.68,-30.4
2011-09-06,0.0,3.19,6.59,8.32,18.16,38.3,8.32,-29.98
2011-09-07,0.0,3.35,6.49,8.26,18.45,37.58,8.26,-29.32
2011-09-08,0.0,3.68,6.23,8.33,20.01,36.89,8.33,-28.56
2011-09-09,0.0,3.96,6.19,8.3,20.41,36.19,8.3,-27.89
2011-09-10,0.0,4.28,6.25,8.29,18.2,35.52,8.29,-27.23
2011-09-11,0.2,3.98,6.57,8.18,17.76,34.97,8.18,-26.79
2011-09-12,0.0,4.02,6.61,8.03,15.84,34.56,8.03,-26.53
2011-09-13,0.0,4.3,6.43,7.99,18.86,34.16,7.99,-26.17
2011-09-14,0.0,4.41,6.69,8.0,15.42,33.69,8.0,-25.69
