PREFIXO: ;3D-015
NOME DO POSTO: ;GUARIPOCABA
MUNICÍPIO: ;BRAGANCA PAULISTA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.353,00
LATITUDE: ;22°54'24"
LONGITUDE: ;46°28'37"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  02/1971;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;35,216;20,625;18,730;18,498;---;---;---;---;---;---
  03/1971;18,730;16,908;15,806;17,583;16,908;37,632;30,859;28,082;23,601;35,515;26,465;37,938;50,978;42,972;35,814;28,904;23,094;22,842;21,846;18,268;20,145;22,842;23,094;20,145;22,093;32,286;25,409;23,601;28,904;31,143;30,296;15,806;26,797;50,978
  04/1971;27,539;28,355;22,842;21,354;21,110;19,432;19,669;18,963;18,268;20,625;22,342;20,384;18,963;18,730;18,498;18,038;19,432;21,846;20,867;18,498;17,810;19,432;20,145;22,093;20,867;21,599;19,906;19,432;18,963;18,038;---;17,810;20,468;28,355
  05/1971;17,356;16,685;17,132;17,132;19,197;19,906;18,038;17,356;16,243;17,356;16,464;15,806;15,160;14,314;13,693;13,284;14,524;14,314;14,106;14,106;13,488;13,284;12,881;13,082;13,284;15,374;16,464;15,590;14,314;15,160;13,693;12,881;15,445;19,906
  06/1971;14,106;13,488;13,488;13,488;13,284;11,894;12,881;13,488;14,106;14,735;14,314;13,899;15,590;17,356;16,685;15,590;20,384;28,082;53,062;56,610;46,907;43,943;34,032;27,000;23,856;22,342;20,384;19,669;18,730;17,583;---;11,894;22,033;56,610
  07/1971;17,356;17,132;18,498;19,906;19,906;17,132;17,583;17,132;16,685;16,243;15,806;15,374;15,160;14,947;14,735;14,524;14,314;14,106;14,106;13,899;13,693;13,488;13,284;13,082;13,082;12,881;13,284;13,082;13,284;13,899;15,160;12,881;15,250;19,906
  08/1971;15,374;14,106;13,693;13,284;13,082;12,881;12,681;13,082;12,881;12,681;12,482;12,285;12,285;12,089;12,089;12,482;12,285;12,089;11,894;11,700;11,508;11,316;11,127;10,938;10,751;11,316;11,894;12,681;12,482;11,700;11,508;10,751;12,343;15,374
  09/1971;11,316;11,316;11,127;10,938;10,751;10,564;10,564;10,938;11,700;13,693;13,284;13,693;14,947;13,693;13,082;12,482;11,508;10,938;10,380;9,833;10,564;10,196;9,833;10,938;12,881;17,583;15,374;12,881;13,284;12,881;---;9,833;12,105;17,583
  10/1971;13,488;15,806;15,374;13,693;16,243;15,374;14,947;20,384;23,347;18,498;17,583;46,907;70,116;58,054;37,022;27,539;27,000;25,409;22,342;20,867;19,432;18,268;17,132;16,243;15,806;17,132;18,498;17,132;17,583;23,601;19,669;13,488;23,242;70,116
  11/1971;15,374;18,963;23,601;33,739;23,347;20,625;18,963;18,268;17,132;17,583;18,038;20,867;24,887;22,591;20,625;19,432;18,498;17,583;17,132;18,038;16,024;16,908;15,806;15,806;17,132;17,810;20,867;21,110;22,591;20,384;---;15,374;19,657;33,739
  12/1971;23,347;24,112;20,384;25,935;26,200;22,342;19,197;19,906;21,846;31,999;24,369;22,591;21,354;22,842;26,465;29,458;25,935;21,846;20,867;25,935;41,372;30,859;42,329;46,907;70,507;74,868;60,985;66,251;80,565;81,393;71,292;19,197;36,912;81,393
  01/1972;57,692;46,242;44,595;37,326;31,999;28,629;30,296;29,736;35,216;31,427;30,859;27,000;25,935;24,887;23,601;22,342;22,842;21,846;21,599;22,342;31,712;28,904;44,923;74,868;83,057;75,269;73,668;58,781;55,180;60,247;64,350;21,599;40,883;83,057
  02/1972;64,350;58,417;51,669;44,595;42,009;38,245;44,269;48,249;46,907;49,948;55,180;45,580;47,576;49,606;51,669;53,413;62,472;47,241;46,242;54,471;60,247;66,251;63,221;74,467;97,291;97,736;86,851;78,512;72,477;---;---;38,245;58,592;97,736
  03/1972;56,610;52,713;50,290;49,948;47,576;45,911;43,618;37,938;36,719;37,632;37,326;38,245;41,055;45,251;39,797;37,326;34,919;33,739;33,446;33,739;30,859;29,180;29,180;33,739;32,575;33,446;33,155;28,629;27,539;25,935;27,000;25,935;37,582;56,610
  04/1972;36,115;44,923;37,022;47,576;44,269;36,719;34,919;34,032;33,155;32,575;29,458;27,000;26,200;25,935;24,887;27,000;28,904;27,810;26,732;24,369;25,147;24,112;23,347;22,842;22,591;22,342;22,093;21,846;21,599;21,354;---;21,354;29,229;47,576
  05/1972;21,110;20,867;20,625;20,384;20,145;19,906;19,669;19,432;20,145;19,669;19,432;18,963;18,730;18,498;18,268;18,038;17,810;17,583;17,356;17,583;17,583;17,810;17,132;17,810;20,384;22,842;20,384;18,498;18,038;17,356;16,908;16,908;18,999;22,842
  06/1972;16,685;16,464;16,243;16,024;15,806;15,590;15,374;15,160;14,947;15,374;15,374;15,590;14,735;14,524;14,314;14,106;13,899;14,314;14,735;15,374;14,947;14,735;14,314;14,106;13,899;13,693;13,488;13,284;13,082;12,881;---;12,881;14,769;16,685
