data,pme,etp,qmon,qjus
1979-10-10,0.1,4.52,,
1979-10-11,0.0,4.52,,
1979-10-12,0.0,4.64,,
1979-10-13,0.5,4.78,,
1979-10-14,3.5,4.63,,
1979-10-15,1.4,4.52,,
1979-10-16,0.0,4.35,,
1979-10-17,0.0,4.55,,
1979-10-18,0.0,4.6,,
1979-10-19,0.0,4.53,,
1979-10-20,0.0,4.6,,
1979-10-21,0.0,4.25,,
1981-01-10,7.1,4.72,,
1981-01-11,4.6,4.67,,
1981-01-12,7.0,4.59,,
1981-01-13,12.8,4.62,,
1981-01-14,12.1,4.73,,
1981-01-15,29.5,4.79,,
1981-01-16,0.3,4.69,,
1981-01-17,0.3,4.68,,
1981-01-18,26.8,4.66,,
1981-01-19,14.1,4.63,,
1981-01-20,5.8,4.63,,
1981-01-21,33.9,4.73,,
1981-01-22,12.5,4.66,,
1981-01-23,2.0,4.65,,
1981-01-24,0.4,4.69,,
1981-01-25,0.6,4.56,,
1981-01-26,0.9,4.66,,
1981-01-27,3.3,4.66,,
1981-01-28,0.7,4.6,,
1981-01-29,0.0,4.58,,
1981-01-30,0.1,4.53,,
1981-01-31,0.6,4.59,,
1981-02-01,2.3,4.69,,
1981-02-02,0.0,4.64,,
1981-03-16,1.0,4.14,,
1981-03-17,22.8,4.03,,
1981-03-18,0.3,4.02,,
1981-03-19,1.6,3.89,,
1981-03-20,0.3,3.72,,
1981-03-21,0.0,3.8,,
1981-03-22,0.0,3.85,,
1981-03-23,0.0,3.81,,
1983-01-04,3.9,4.74,,
1983-01-05,5.0,4.74,,
1983-01-06,2.0,4.73,,
1983-01-07,2.6,4.73,,
1983-01-08,5.6,4.85,,
1983-01-09,0.8,4.81,,
1983-01-10,1.3,4.72,,
1983-01-11,0.9,4.67,,
1983-01-12,4.2,4.59,,
1983-01-15,13.6,4.79,,
1983-01-22,2.0,4.66,,
1983-01-23,2.1,4.65,,
1983-01-24,0.1,4.69,,
1983-01-25,0.1,4.56,,
1983-07-01,0.0,2.4,,
1983-07-02,0.0,2.08,,
1983-07-03,0.5,2.05,,
1983-07-04,0.5,2.16,,
1983-07-05,0.1,2.14,,
1983-07-06,0.9,2.22,,
1983-07-07,4.0,2.19,,
1983-07-08,6.3,2.27,,
1983-07-09,5.0,2.03,,
1983-07-10,6.6,2.12,,
1983-07-11,0.1,2.32,,
1983-07-12,0.1,2.48,,
1983-07-13,0.0,2.55,,
1983-07-14,0.0,2.55,,
1983-07-15,0.4,2.4,,
1983-07-16,0.1,2.29,,
1983-07-17,4.5,2.19,,
1983-07-18,0.4,2.34,,
1983-07-19,0.7,2.38,,
1983-07-20,0.3,2.49,,
1983-07-21,0.0,2.59,,
1983-07-22,0.0,2.71,,
1983-07-23,0.0,2.63,,
1983-07-24,0.2,2.61,,
1983-07-25,0.1,2.71,,
1983-07-26,0.1,2.35,,
1983-07-27,0.0,2.41,,
1983-07-28,0.1,2.62,,
1983-07-29,0.0,2.79,,
1983-07-30,0.0,2.44,,
1983-07-31,0.0,2.5,,
1983-08-31,0.0,3.76,,
1983-09-01,0.0,3.41,,
1983-09-02,0.7,3.33,,
1983-09-03,1.1,3.39,,
1983-09-04,27.2,3.62,,
1983-09-05,16.0,3.69,,
1983-09-11,0.8,4.4,,
1983-09-12,3.4,4.46,,
1983-09-13,10.0,4.42,,
1983-09-14,0.8,4.18,,
1983-09-15,0.6,4.29,,
1983-10-10,1.3,4.52,,
1983-10-11,17.5,4.52,,
1983-10-12,3.1,4.64,,
1983-10-13,1.4,4.78,,
1983-10-14,6.3,4.63,,
1983-10-15,1.8,4.52,,
1983-10-16,0.1,4.35,,
1983-10-17,6.3,4.55,,
1983-10-18,19.7,4.6,,
1983-10-30,0.4,4.66,,
1983-10-31,5.5,4.73,,
1983-11-01,8.5,4.7,,
1983-11-02,5.9,4.79,,
1983-11-03,1.2,4.76,,
1983-11-04,7.3,4.85,,
1983-11-05,3.1,4.66,,
1983-11-06,0.5,4.66,,
1983-11-07,0.0,4.85,,
1986-01-01,16.9,4.72,,
1986-01-02,9.4,4.7,,
1986-01-03,0.9,4.74,,
1986-01-04,0.6,4.74,,
1986-01-05,3.6,4.74,,
1986-01-06,0.1,4.73,,
1986-01-07,0.3,4.73,,
1986-01-08,0.1,4.85,,
1986-01-09,0.4,4.81,,
1986-01-10,3.8,4.72,,
1986-01-11,3.5,4.67,,
1986-01-12,8.3,4.59,,
1986-01-13,1.9,4.62,,
1986-01-14,4.1,4.73,,
1986-01-15,0.2,4.79,,
1986-01-16,0.3,4.69,,
1986-01-17,0.0,4.68,,
1986-01-18,0.1,4.66,,
1986-01-19,0.7,4.63,,
1986-01-20,2.0,4.63,,
