,y_valid,q_pred0,q_pred1,q_pred2,q_pred3
0,4.83,4.940000000000001,4.768833,5.4134912,4.157936
1,4.690000000000001,4.83,7.6156063,5.2902665,3.6788929
2,4.580000000000001,4.690000000000001,6.6122146,5.1650605,3.6500552
3,4.55,4.580000000000001,7.917482,5.082801,3.6641574
4,4.49,4.55,5.928623,5.0876937,3.898724
5,4.39,4.49,4.6052637,5.001251,3.3963203
6,4.33,4.39,5.129074,4.9109077,3.4219058
7,4.31,4.33,4.9926753,4.878558,3.424054
8,4.27,4.31,3.5658047,4.869044,3.4435477
9,4.22,4.27,4.9438353,4.818667,3.4840882
10,4.25,4.22,1.9453571,4.7775564,3.232766
11,4.31,4.25,2.9305167,4.842749,3.3355198
12,4.26,4.31,4.460771,4.8893867,3.0467403
13,4.25,4.26,4.298845,4.7931647,3.197354
14,4.19,4.25,5.122749,4.833882,3.2806265
15,4.16,4.19,3.2343328,4.727074,3.2384531
16,4.13,4.16,1.52855,4.745914,3.152465
17,4.08,4.13,4.025548,4.693372,2.9144201
18,4.09,4.08,4.3377275,4.6534886,3.1405673
19,4.05,4.09,4.521165,4.690094,3.1763
20,4.02,4.05,6.0883307,4.613509,2.83194
21,4.32,4.02,2.1123657,4.6151786,3.0206962
22,11.18,4.32,4.032409,5.0326014,3.31147
23,21.53,11.18,11.426321,14.315358,12.354792
24,15.92,21.53,20.352684,23.267569,22.211506
25,11.15,15.92,12.913531,10.599135,11.53869
26,8.57,11.15,10.993538,11.140501,10.819496
27,7.180000000000001,8.57,9.024523,7.250536,7.2738976
28,6.35,7.180000000000001,6.648104,7.521404,5.434705
29,5.840000000000001,6.35,6.9745655,6.211979,5.5287905
30,5.470000000000001,5.840000000000001,7.4366584,6.244588,5.417023
31,5.300000000000001,5.470000000000001,4.841571,5.710477,4.947418
32,5.22,5.300000000000001,3.8586922,5.7767854,4.1999745
33,5.11,5.22,6.0454187,5.6276336,3.809457
34,5.56,5.11,5.3139405,5.558995,3.9849994
35,5.06,5.56,6.5071297,6.2250795,5.632619
36,4.7,5.06,6.4908104,5.149997,4.504473
37,4.56,4.7,5.2923756,5.2586694,3.856501
38,4.5,4.56,6.40168,5.001741,3.5300033
39,4.46,4.5,5.9149833,5.0640173,3.567636
40,4.34,4.46,3.9841971,4.9728665,3.7953668
41,4.24,4.34,6.294475,4.8573065,4.0160007
42,4.16,4.24,3.6813238,4.7834973,2.888552
43,4.2,4.16,4.834568,4.7138586,3.5091305
44,4.27,4.2,3.0188632,4.8092055,3.1565986
45,3.99,4.27,2.7231755,4.8526607,3.2003455
46,3.9300000000000006,3.99,3.72118,4.4374537,3.0729024
47,3.7999999999999994,3.9300000000000006,6.3901386,4.5896792,3.6341166
48,3.98,3.7999999999999994,2.8089437,4.3218536,2.1368918
49,4.26,3.98,4.6056213,4.7250915,2.189986
50,4.12,4.26,3.9787724,4.886498,3.4766984
51,4.07,4.12,2.7172868,4.5995526,3.2176678
52,4.37,4.07,4.1088915,4.6928434,2.835248
53,4.61,4.37,4.766931,5.058206,3.7441356
54,4.87,4.61,6.8450117,5.1853223,3.380874
55,4.87,4.87,5.098986,5.4756064,4.1725903
56,4.51,4.87,5.0421357,5.310757,3.6233072
57,4.38,4.51,3.6777978,4.9024296,3.1786082
58,4.32,4.38,5.8643947,4.953099,3.1485276
